seed,average_chr,average_local_rsu_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_id,selected_hotspot_position,lambda_smooth,path_plan_status,path_plan_solver,decision_request_count,evaluation_request_count,decision_request_source,uses_proposed_miss_feedback,decision_policy,fallback_to_topk,fallback_reason,solver_status
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,8,80,89,10,0.13157894736842105,0.5263157894736842,46.85215701668793,52.55205810435544,rsu_covered_requests_only,171,513,31.327811818699537,32.04007303063727,63.96952923446435,28.395218294912752,26.904151210784594,37.91526644168045,153.50795051928688,142.4666065911726,147.2450264249518,164.89121787760294,75,15,81,684,90,75,15,594,513,81,703.0335499706853,30.0,11,12,1,0.0,1.3334093262145799,fallback: No module named 'cvxpy',heuristic,680,684,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,9,90,99,10,0.33578792341678937,0.5441527446300716,47.836070742164324,52.55205810435544,rsu_covered_requests_only,419,260,29.08096725161421,31.257717822964068,68.65163104058918,30.56061748924781,27.973468201953803,30.37088089325479,168.59127560292225,98.53604183768273,130.74696929067397,228.94460183308885,90,138,191,679,228,90,138,451,260,191,3.0335499706852715,30.0,15,21,3,50.0,1.011350502685168,fallback: No module named 'cvxpy',heuristic,680,679,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,0,0,9,10,0.07511045655375552,0.2236842105263158,57.40136561382928,50.64789359861878,rsu_covered_requests_only,228,451,34.2869273134286,29.925609312411236,64.94850573449064,24.783529263508235,28.966460360667995,35.17124401527351,164.7780775436611,190.51844751930693,105.01221222003113,174.75245947595482,15,36,177,679,51,15,36,628,451,177,370.86699954607354,30.0,7,17,6,650.0,1.2958823529411765,fallback: No module named 'cvxpy',heuristic,680,679,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,1,10,19,10,0.08656716417910448,0.3717948717948718,54.68081892378596,50.64789359861878,rsu_covered_requests_only,156,514,27.610570904498502,34.55322230698174,69.63933539400456,31.605523792405826,24.575430076026414,27.120843493302043,193.43073240759003,68.84934774993292,198.87159559906024,247.26120784031656,43,15,98,670,58,43,15,612,514,98,670.8669995460735,30.0,13,13,1,900.0,1.117284665295987,fallback: No module named 'cvxpy',heuristic,680,670,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,2,20,29,10,0.20148148148148148,0.2769857433808554,60.69487165964564,50.64789359861878,rsu_covered_requests_only,491,184,29.65557879702288,32.302448852782575,72.21318243859976,29.9144573742451,26.53094404858885,26.789782384041334,239.63591072820842,105.28749847573357,144.47577648154768,285.58512246354894,86,50,355,675,136,86,50,539,184,355,970.8669995460735,30.0,22,13,5,200.0,1.2849317241195162,fallback: No module named 'cvxpy',heuristic,680,675,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,3,30,39,10,0.3613933236574746,0.3613933236574746,52.292207618455954,50.64789359861878,rsu_covered_requests_only,689,0,31.768953614537427,27.722728713777823,65.01001951633519,27.309875661369766,31.553981166218875,36.609920042935435,149.74169431375054,136.47303560895836,69.42566308976824,175.5361959496507,129,120,440,689,249,129,120,440,0,440,186.86699954607366,6.0,32,33,6,100.0,0.7943434888253986,fallback: No module named 'cvxpy',heuristic,680,689,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,4,40,49,10,0.46735905044510384,0.46805349182763745,47.715195131325984,50.64789359861878,rsu_covered_requests_only,673,1,30.99495319093345,30.66078639687966,62.56622044847028,28.472344402582436,28.437672012255724,39.483943638411255,132.38420468637807,128.62883735714894,117.96943121135273,140.12496508981613,166,149,358,674,315,166,149,359,1,358,352.53200181570537,7.133000453926343,29,40,4,300.0,0.6706023123548099,fallback: No module named 'cvxpy',heuristic,680,674,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,5,50,59,10,0.4962852897473997,0.5758620689655173,46.34689264024661,50.64789359861878,rsu_covered_requests_only,580,93,31.108560038065924,33.41697774869266,66.02288441415173,27.858474892539483,25.820585107801318,33.216322255643426,161.27041607554986,124.5014860089235,172.53925443291396,190.10270734572157,226,108,246,673,334,226,108,339,93,246,558.1970040853371,14.0,34,42,3,500.0,0.691708397639583,fallback: No module named 'cvxpy',heuristic,680,673,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,6,60,69,10,0.49416909620991256,0.5978835978835979,45.41296761818752,50.64789359861878,rsu_covered_requests_only,567,119,27.548374879408005,27.79386265233308,71.91019425007678,32.45304990997578,32.33336612188878,27.865450944573066,160.10325758492482,75.62440526894675,85.03221782619671,283.2342320659844,279,60,228,686,339,279,60,347,119,228,806.8941679934692,30.0,37,29,5,550.0,1.8452262476302383,fallback: No module named 'cvxpy',heuristic,680,686,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.3464714512144226,0.4785960641103672,thompson_sampling,Thompson Sampling,250,250,250,7,70,79,10,0.5626822157434402,0.5626822157434402,51.97319352812787,50.64789359861878,rsu_covered_requests_only,686,0,31.721871356790228,32.645984767343556,77.79886636927732,27.13905748536691,26.196927944738523,22.6489608860975,237.52679549207258,132.3595967827573,148.36665543589032,368.840159834775,311,75,300,686,386,311,75,300,0,300,106.89416799346918,30.0,40,16,1,750.0,1.7172140521967254,fallback: No module named 'cvxpy',heuristic,680,686,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
